,Home Team Initials,Away Team Initials,Weight,Home Goal Total
201,ENG,SWE,1,14.0
202,ENG,TCH,2,5.0
203,ENG,TRI,1,8.0
204,ENG,TUN,1,3.0
205,ENG,URU,1,7.0
206,ENG,USA,1,0.0
207,ESP,BEL,1,1.0
208,ESP,BRA,2,2.0
209,ESP,BUL,1,25.0
210,ESP,CHI,2,14.0
211,ESP,ENG,2,3.0
212,ESP,FRA,1,0.0
213,ESP,HON,2,0.0
214,ESP,IRL,1,
215,ESP,KOR,2,
216,ESP,MEX,1,
217,ESP,NED,1,
218,ESP,NGA,1,
219,ESP,PAR,2,
220,ESP,POR,1,
221,ESP,SUI,3,
222,ESP,SVN,1,
223,ESP,SWE,1,
224,ESP,TUN,1,
225,ESP,UKR,1,
226,ESP,USA,1,
227,ESP,YUG,2,
228,FRA,BEL,2,
229,FRA,CRO,1,
230,FRA,DEN,1,
231,FRA,FRG,2,
232,FRA,GER,2,
233,FRA,HON,1,
234,FRA,HUN,1,
235,FRA,KOR,1,
236,FRA,KSA,1,
237,FRA,KUW,1,
238,FRA,MEX,4,
239,FRA,NGA,2,
240,FRA,NIR,2,
241,FRA,PAR,2,
242,FRA,RSA,2,
243,FRA,SCO,1,
244,FRA,SEN,1,
245,FRA,SUI,1,
246,FRA,TCH,1,
247,FRA,URS,1,
248,FRA,URU,1,
249,FRG,ALG,1,
250,FRG,ARG,2,
251,FRG,AUT,2,
252,FRG,BUL,1,
253,FRG,CHI,3,
254,FRG,COL,1,
255,FRG,ENG,3,
256,FRG,ESP,2,
257,FRG,FRA,1,
258,FRG,HUN,1,
259,FRG,ITA,2,
260,FRG,MAR,1,
261,FRG,MEX,2,
262,FRG,NED,2,
263,FRG,NIR,1,
264,FRG,PER,1,
265,FRG,POL,1,
266,FRG,SCO,1,
267,FRG,SUI,2,
268,FRG,SWE,1,
269,FRG,TCH,2,
270,FRG,TUN,1,
271,FRG,TUR,2,
272,FRG,UAE,1,
273,FRG,URS,1,
274,FRG,URU,2,
275,FRG,YUG,3,
276,GDR,AUS,1,
277,GDR,FRG,1,
278,GDR,NED,1,
279,GER,ALG,2,
